date,clone,tool,delta_bytes,tool_bytes_after,surface_bytes_after,sha
2026-09-10,work-ai3,modoki_add_native_target,0,691,152960,c7d044992
2026-09-10,work-ai3,modoki_anim_add_key,0,992,152960,c7d044992
2026-09-10,work-ai3,modoki_anim_set_clip,0,731,152960,c7d044992
2026-09-10,work-ai3,modoki_asset_schema,0,415,152960,c7d044992
2026-09-10,work-ai3,modoki_batch,0,2526,152960,c7d044992
2026-09-10,work-ai3,modoki_build,0,1416,152960,c7d044992
2026-09-10,work-ai3,modoki_capture_gesture,0,941,152960,c7d044992
2026-09-10,work-ai3,modoki_capture_viewport,0,2250,152960,c7d044992
2026-09-10,work-ai3,modoki_create_asset,0,580,152960,c7d044992
2026-09-10,work-ai3,modoki_create_entity,0,1290,152960,c7d044992
2026-09-10,work-ai3,modoki_create_folder,0,391,152960,c7d044992
2026-09-10,work-ai3,modoki_create_registered_asset,0,1513,152960,c7d044992
2026-09-10,work-ai3,modoki_delete_asset,0,2449,152960,c7d044992
2026-09-10,work-ai3,modoki_delete_entities,0,525,152960,c7d044992
2026-09-10,work-ai3,modoki_diagnose,0,1496,152960,c7d044992
2026-09-10,work-ai3,modoki_discard_asset_edits,0,1425,152960,c7d044992
2026-09-10,work-ai3,modoki_dispatch_action,0,696,152960,c7d044992
2026-09-10,work-ai3,modoki_dnd,0,1575,152960,c7d044992
2026-09-10,work-ai3,modoki_drag,0,6078,152960,c7d044992
2026-09-10,work-ai3,modoki_drag_handle,0,1998,152960,c7d044992
2026-09-10,work-ai3,modoki_duplicate_asset,0,1305,152960,c7d044992
2026-09-10,work-ai3,modoki_duplicate_entity,0,989,152960,c7d044992
2026-09-10,work-ai3,modoki_editor_journal,0,4578,152960,c7d044992
2026-09-10,work-ai3,modoki_eval,0,1292,152960,c7d044992
2026-09-10,work-ai3,modoki_eval_api,0,574,152960,c7d044992
2026-09-10,work-ai3,modoki_exit_pose_envelope,0,1066,152960,c7d044992
2026-09-10,work-ai3,modoki_find_references,0,1270,152960,c7d044992
2026-09-10,work-ai3,modoki_focus,0,2127,152960,c7d044992
2026-09-10,work-ai3,modoki_focus_entity,0,996,152960,c7d044992
2026-09-10,work-ai3,modoki_game_view_devices,0,450,152960,c7d044992
2026-09-10,work-ai3,modoki_get_asset_meta,0,1154,152960,c7d044992
2026-09-10,work-ai3,modoki_get_console_logs,0,1100,152960,c7d044992
2026-09-10,work-ai3,modoki_get_editor_state,0,2260,152960,c7d044992
2026-09-10,work-ai3,modoki_get_layout_bounds,0,2006,152960,c7d044992
2026-09-10,work-ai3,modoki_get_scene_state,0,3440,152960,c7d044992
2026-09-10,work-ai3,modoki_handles,0,2517,152960,c7d044992
2026-09-10,work-ai3,modoki_history,0,772,152960,c7d044992
2026-09-10,work-ai3,modoki_hit_regions,0,2506,152960,c7d044992
2026-09-10,work-ai3,modoki_hover,0,2627,152960,c7d044992
2026-09-10,work-ai3,modoki_identity,0,845,152960,c7d044992
2026-09-10,work-ai3,modoki_import_file,0,800,152960,c7d044992
2026-09-10,work-ai3,modoki_input_watch,0,2042,152960,c7d044992
2026-09-10,work-ai3,modoki_journal,0,1947,152960,c7d044992
2026-09-10,work-ai3,modoki_list_actions,0,189,152960,c7d044992
2026-09-10,work-ai3,modoki_list_assets,0,832,152960,c7d044992
2026-09-10,work-ai3,modoki_list_creatable_assets,0,720,152960,c7d044992
2026-09-10,work-ai3,modoki_list_scenes,0,71,152960,c7d044992
2026-09-10,work-ai3,modoki_list_traits,0,469,152960,c7d044992
2026-09-10,work-ai3,modoki_load_scene,0,1022,152960,c7d044992
2026-09-10,work-ai3,modoki_menu,0,791,152960,c7d044992
2026-09-10,work-ai3,modoki_move_asset,0,935,152960,c7d044992
2026-09-10,work-ai3,modoki_mutate_scene,0,2121,152960,c7d044992
2026-09-10,work-ai3,modoki_new_scene,0,1434,152960,c7d044992
2026-09-10,work-ai3,modoki_open_animation_editor,0,1191,152960,c7d044992
2026-09-10,work-ai3,modoki_open_nine_slice_editor,0,372,152960,c7d044992
2026-09-10,work-ai3,modoki_open_particle_editor,0,527,152960,c7d044992
2026-09-10,work-ai3,modoki_open_skin_editor,0,576,152960,c7d044992
2026-09-10,work-ai3,modoki_open_sprite_editor,0,609,152960,c7d044992
2026-09-10,work-ai3,modoki_ota_keygen,0,524,152960,c7d044992
2026-09-10,work-ai3,modoki_ota_publish,0,2463,152960,c7d044992
2026-09-10,work-ai3,modoki_ota_status,0,506,152960,c7d044992
2026-09-10,work-ai3,modoki_particle_set,0,1005,152960,c7d044992
2026-09-10,work-ai3,modoki_persistence,0,1271,152960,c7d044992
2026-09-10,work-ai3,modoki_play_clip,0,1298,152960,c7d044992
2026-09-10,work-ai3,modoki_play_control,0,702,152960,c7d044992
2026-09-10,work-ai3,modoki_player_prefs,0,1676,152960,c7d044992
2026-09-10,work-ai3,modoki_pointer,0,4066,152960,c7d044992
2026-09-10,work-ai3,modoki_pose_clip,0,1661,152960,c7d044992
2026-09-10,work-ai3,modoki_prefab,0,4356,152960,c7d044992
